"year","LS0A11CD","LS0A11NM","c1","c2","c3","c4","c5","c0","male","female","unknowsex","avgage","PNT_COUNT","PERCENTAGE","FREQUENCY","SUM_Field15","total_incidents"
"2020","E01003966","Southwark 015B","4","32","35","3","10","2","41","42","2","45","2","0.001701606","4","24","86"
"2020","E01003967","Southwark 016B","1","8","6","1","3","3","10","8","3","47","7","0.005955622","3","5","22"
"2020","E01003968","Southwark 015C","3","22","10","NULL","1","0","26","10","1","51","18","0.015314457","4","8","38"
"2020","E01003969","Southwark 017B","6","35","23","NULL","7","1","47","22","4","42","10","0.008508032","4","43","73"
"2020","E01003970","Southwark 016C","2","16","12","1","8","1","20","20","0","45","3","0.002552409","3","14","40"
"2020","E01003971","Southwark 015D","1","26","12","5","1","0","30","12","1","43","4","0.003403213","4","13","45"
"2020","E01003972","Southwark 016D","4","29","15","NULL","2","0","28","28","0","44","3","0.002552409","3","11","56"
"2020","E01003973","Southwark 016E","5","32","23","NULL","NULL","0","41","25","1","51","2","0.001701606","4","16","67"
"2020","E01003974","Southwark 015E","4","25","6","1","NULL","0","24","11","1","46","14","0.011911244","4","9","36"
"2020","E01003975","Southwark 004A","1","20","7","1","NULL","1","21","17","0","42","2","0.001701606","4","12","38"
"2020","E01003976","Southwark 003A","8","35","17","2","NULL","3","29","48","0","46","6","0.005104819","4","25","77"
"2020","E01003977","Southwark 010A","8","56","35","1","10","5","47","68","0","49","1","0.000850803","4","16","115"
"2020","E01003978","Southwark 004B","1","33","19","5","3","0","33","26","0","44","2","0.001701606","4","22","61"
"2020","E01003979","Southwark 006E","14","60","25","1","7","1","57","49","1","54","6","0.005104819","4","26","108"
"2020","E01003980","Southwark 013A","15","59","32","18","1","0","82","39","4","45","7","0.005955622","4","20","125"
"2020","E01003981","Southwark 006F","24","173","30","NULL","13","23","129","127","8","51","3","0.002552409","4","54","264"
"2020","E01003983","Southwark 018A","4","24","20","1","7","0","20","33","3","45","5","0.004254016","4","18","56"
"2020","E01003984","Southwark 023A","7","52","24","NULL","7","1","28","62","2","56","2","0.001701606","4","21","92"
"2020","E01003986","Southwark 011A","7","47","13","1","7","3","31","47","0","53","6","0.005104819","4","12","78"
"2020","E01003987","Southwark 011B","8","93","23","NULL","130",,"49","81","0","47","2","0.001701606","4","17",
"2020","E01003988","Southwark 018B","8","57","28","11","3","0","37","66","4","50","5","0.004254016","4","34","107"
"2020","E01003989","Southwark 018C","4","49","35","2","7","1","59","35","2","47","7","0.005955622","4","26","98"
"2020","E01003990","Southwark 018D","5","37","18","1","NULL","1","30","37","1","53","14","0.011911244","4","20","69"
"2020","E01003991","Southwark 017C","41","14","3","NULL","5","0","27","36","1","62","4","0.003403213","4","9","65"
"2020","E01003992","Southwark 014A","5","40","17","2","NULL","3","42","36","2","55","11","0.009358835","4","11","80"
"2020","E01003993","Southwark 017D","7","42","21","1","11","4","45","35","4","51","2","0.001701606","4","20","86"
"2020","E01003994","Southwark 012E","6","78","37","3","9","2","42","88","5","57","3","0.002552409","4","21","135"
"2020","E01003995","Southwark 014B","10","29","12","NULL","NULL","4","28","29","0","52","1","0.000850803","4","14","57"
"2020","E01003997","Southwark 017E","5","25","7","NULL","39",,"21","18","0","41","9","0.007657228","4","17",
"2020","E01003998","Southwark 014D","1","30","21","1","5","2","29","30","1","56","1","0.000850803","3","18","60"
"2020","E01003999","Southwark 014E","1","14","6","1","NULL","2","11","13","1","40","19","0.01616526","3","13","25"
"2020","E01004000","Southwark 026A","4","53","23","1","6","2","37","48","4","55","4","0.003403213","4","16","89"
"2020","E01004001","Southwark 026B","3","36","15","7","1","0","25","35","1","55","10","0.008508032","3","14","62"
"2020","E01004002","Southwark 029A","7","19","8","8","42",,"10","29","2","58","10","0.008508032","4","15",
"2020","E01004003","Southwark 023B","6","53","23","2","NULL","2","28","62","1","49","3","0.002552409","4","18","91"
"2020","E01004004","Southwark 023C","4","68","53","2","9","3","49","87","3","61","2","0.001701606","4","41","139"
"2020","E01004005","Southwark 023D","25","62","32","3","14","4","76","59","5","58","4","0.003403213","4","19","140"
"2020","E01004006","Southwark 023E","11","49","31","1","11","5","33","72","1","56","4","0.003403213","4","25","108"
"2020","E01004007","Southwark 018E","1","20","13","5","39",,"14","25","0","40","27","0.022971685","4","6",
"2020","E01004008","Southwark 022B","12","36","24","NULL","9","1","23","58","1","40","1","0.000850803","4","10","82"
"2020","E01004010","Southwark 022D","9","41","29","7","86",,"55","28","3","44","6","0.005104819","4","17",
"2020","E01004011","Southwark 019B","4","48","23","2","7","0","39","43","0","58","1","0.000850803","4","23","84"
"2020","E01004012","Southwark 019C","8","29","9","NULL","8","1","18","35","3","39","19","0.01616526","4","20","56"
"2020","E01004013","Southwark 019D","4","28","10","NULL","2","0","20","28","0","47","6","0.005104819","4","12","48"
"2020","E01004014","Southwark 019E","5","34","13","3","NULL","6","36","35","0","44","7","0.005955622","3","16","71"
"2020","E01004015","Southwark 028C","3","29","26","2","NULL","9","30","45","4","56","6","0.005104819","3","21","79"
